도로명주소,Latitude,Longitude,geometry,AOT,B1,B2,B3,B4,B5,B6,B7,B8A,B11,B12,SCL,TCI,WVP,Date
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),1062.0,2078.0,2467.0,2801.0,3058.0,3260.0,3291.0,3430.0,4005.0,3425.0,3340.0,5.0,202.0,926.0,20200407
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),396.0,2369.0,2346.0,2470.0,2477.0,2426.0,2556.0,2763.0,3052.0,2729.0,2951.0,5.0,153.0,743.0,20200427
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),396.0,1871.0,1861.0,2220.0,2171.0,2896.0,3433.0,3656.0,3340.0,2671.0,3698.0,5.0,119.0,1030.0,20200427
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),396.0,2749.0,2966.0,3257.0,3465.0,3641.0,3698.0,3743.0,4197.0,3671.0,3690.0,5.0,246.0,714.0,20200427
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),396.0,1617.0,1624.0,1932.0,1804.0,2557.0,4140.0,4570.0,3510.0,2561.0,4795.0,4.0,82.0,943.0,20200427
충청남도 아산시 인주면 인주산단로 23-28,36.8734759,126.8795433,POINT (311005.7654614598 4082935.8596934597),396.0,3139.0,4800.0,4007.0,3373.0,3412.0,3471.0,3590.0,3692.0,3239.0,3752.0,8.0,244.0,748.0,20200427
충청남도 아산시 배방읍 장재리 2116,36.7844748,127.1013253,POINT (330578.923441488 4072645.1873399825),396.0,1988.0,1623.0,1940.0,1818.0,2525.0,3462.0,3551.0,2982.0,2487.0,3821.0,5.0,85.0,940.0,20200427
충청남도 아산시 송악면 송악로 790,36.7316409,127.008961,POINT (322214.2680554545 4066950.9830622626),396.0,2323.0,2351.0,2515.0,2462.0,2659.0,2625.0,3078.0,4059.0,3350.0,3369.0,5.0,148.0,750.0,20200427
충남 아산시 모종동 573-2,36.7826998,127.0146102,POINT (322836.27612184617 4072605.3803751846),156.0,2219.0,2274.0,2414.0,2431.0,2516.0,2656.0,2794.0,2987.0,2701.0,2925.0,5.0,147.0,655.0,20200507
충남 아산시 도고면 기곡리 296-4,36.762523,126.8887276,POINT (311552.49051921687 4070607.3464196227),162.0,2336.0,2590.0,2886.0,3048.0,3219.0,3357.0,3368.0,3823.0,3352.0,3338.0,5.0,208.0,629.0,20200507
충남 아산시 배방읍 배방로 38,36.7711814,127.0617795,POINT (327019.94021236553 4071241.106559802),156.0,1783.0,1890.0,2278.0,2239.0,2575.0,3657.0,3708.0,3215.0,2617.0,3819.0,5.0,126.0,970.0,20200507
충청남도 아산시 둔포면 중앙공원로 43,36.9202752,127.0608668,POINT (327274.32121116144 4087784.4709480437),156.0,1530.0,1629.0,2001.0,1788.0,2518.0,4331.0,4797.0,3344.0,2494.0,5140.0,4.0,81.0,892.0,20200507
